run_id,campaign_id,system_id,model,replicate,run_index,run_status,failure_stage,failure_category,failure_reason,started_at,finished_at,schema_valid,referential_valid,strict_deterministic,guard_aware_deterministic,requirement_coverage,behavioral_pass_rate,final_state_agreement,trace_agreement,rejected_event_agreement,missing_transitions,extra_transitions,tier
C1_pilot_ollama_behavioral__vending_machine__qwen2.5-coder_7b__r01,C1_pilot_ollama_behavioral,vending_machine,qwen2.5-coder:7b,1,1,passed,none,none,,2026-06-03T05:47:26+00:00,2026-06-03T05:47:30+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__qwen2.5-coder_7b__r02,C1_pilot_ollama_behavioral,vending_machine,qwen2.5-coder:7b,2,2,passed,none,none,,2026-06-03T05:47:30+00:00,2026-06-03T05:47:34+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__qwen2.5-coder_7b__r03,C1_pilot_ollama_behavioral,vending_machine,qwen2.5-coder:7b,3,3,passed,none,none,,2026-06-03T05:47:34+00:00,2026-06-03T05:47:38+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__qwen2.5-coder_7b__r04,C1_pilot_ollama_behavioral,vending_machine,qwen2.5-coder:7b,4,4,passed,none,none,,2026-06-03T05:47:38+00:00,2026-06-03T05:47:42+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__qwen2.5-coder_7b__r05,C1_pilot_ollama_behavioral,vending_machine,qwen2.5-coder:7b,5,5,passed,none,none,,2026-06-03T05:47:42+00:00,2026-06-03T05:47:46+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__llama3.1_8b__r01,C1_pilot_ollama_behavioral,vending_machine,llama3.1:8b,1,6,passed,none,none,,2026-06-03T05:50:24+00:00,2026-06-03T05:50:29+00:00,True,False,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__llama3.1_8b__r02,C1_pilot_ollama_behavioral,vending_machine,llama3.1:8b,2,7,passed,none,none,,2026-06-03T05:50:29+00:00,2026-06-03T05:50:32+00:00,True,False,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__llama3.1_8b__r03,C1_pilot_ollama_behavioral,vending_machine,llama3.1:8b,3,8,passed,none,none,,2026-06-03T05:50:32+00:00,2026-06-03T05:50:36+00:00,True,False,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__llama3.1_8b__r04,C1_pilot_ollama_behavioral,vending_machine,llama3.1:8b,4,9,passed,none,none,,2026-06-03T05:50:36+00:00,2026-06-03T05:50:39+00:00,True,False,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__llama3.1_8b__r05,C1_pilot_ollama_behavioral,vending_machine,llama3.1:8b,5,10,passed,none,none,,2026-06-03T05:50:39+00:00,2026-06-03T05:50:42+00:00,True,False,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,3,pilot
C1_pilot_ollama_behavioral__vending_machine__mistral-nemo_12b__r01,C1_pilot_ollama_behavioral,vending_machine,mistral-nemo:12b,1,11,passed,none,none,,2026-06-03T05:50:42+00:00,2026-06-03T05:50:48+00:00,True,True,True,True,0.5,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__vending_machine__mistral-nemo_12b__r02,C1_pilot_ollama_behavioral,vending_machine,mistral-nemo:12b,2,12,passed,none,none,,2026-06-03T05:50:48+00:00,2026-06-03T05:50:52+00:00,True,True,True,True,0.5,0.5,0.0,0.0,1.0,2,2,pilot
